Title,Author(s),Year,Simple Pos,Simple NS,Simple Neg,Intermediate Pos,Intermediate NS,Intermediate Neg,Complex Pos,Complex NS,Complex Neg
Landscape-dependent effects of varietal mixtures on insect pest control and implications for farmer profits,Snyder et al. ,2020,0,0,0,0,0,0,1,1,0
Landscape-dependent effects of varietal mixtures on insect pest control and implications for farmer profits,Snyder et al. ,2020,0,0,0,0,0,0,0,1,0
Landscape-dependent effects of varietal mixtures on insect pest control and implications for farmer profits,Snyder et al. ,2020,0,0,0,0,0,0,1,1,1
Local and broadscale landscape structure differentially impact predation of two potato pests,Werling & Gratton,2010,0,0,0,0,0,0,1,0,0
Local and broadscale landscape structure differentially impact predation of two potato pests,Werling & Gratton,2010,0,0,0,0,0,0,1,0,0
Local and broadscale landscape structure differentially impact predation of two potato pests,Werling & Gratton,2010,0,0,0,0,0,0,1,0,0
Landscape diversity and crop vigor outweigh influence of local diversification on biological control of a vineyard pest,Wilson et al.,2017,0,0,0,1,0,0,1,1,0
Landscape diversity and crop vigor outweigh influence of local diversification on biological control of a vineyard pest,Wilson et al.,2017,0,0,0,1,0,0,0,1,0
Landscape diversity and crop vigor outweigh influence of local diversification on biological control of a vineyard pest,Wilson et al.,2017,0,0,0,0,1,0,1,1,0
Landscape diversity and crop vigor outweigh influence of local diversification on biological control of a vineyard pest,Wilson et al.,2017,0,0,0,0,1,0,1,1,0
Landscape diversity and crop vigor outweigh influence of local diversification on biological control of a vineyard pest,Wilson et al.,2017,0,0,0,0,1,0,1,1,0
Mixed effects of organic farming and landscape complexity on farmland biodiversity and biological control potential across Europe,Winqvist et al. ,2011,0,0,0,0,0,1,1,1,0
The taxon- and functional trait-dependent effects of field margin and landscape composition on predatory arthropods in wheat fields of the North China Plain,Zhang et al.,2020,0,0,0,1,1,1,0,0,0
